name,stage,lat,lon
Lead: (Kimco) KIMCO - Independence Plaza - Laredo,Lead,27.6075937,-99.4750472
Lead: (Kimco) KIMCO - Independence Plaza - Selden,Lead,40.8637577,-73.0519615
Lead: (Kimco) KIMCO - Ingleside S.C.,Lead,39.289809,-76.7297493
Lead: (Kimco) KIMCO - Ives Dairy Crossing,Lead,26.1417688,-80.2015415
Lead: (Kimco) KIMCO - Jantzen Beach Center,Lead,45.6141211,-122.6853825
Lead: (Kimco) KIMCO - Jefferson Square,Lead,,
Lead: (Kimco) KIMCO - Jericho Atrium,Lead,40.7908597,-73.5349765
Lead: (Kimco) KIMCO - Jericho Commons,Lead,40.7905138,-73.5352662
Lead: (Kimco) KIMCO - Jetton Village Shoppes,Lead,35.4779258,-80.8935985
Lead: (Kimco) KIMCO - Kendale Lakes Plaza,Lead,25.6859903,-80.4203675
Lead: (Kimco) KIMCO - Kenneth Hahn Plaza,Lead,33.9259843,-118.2387733
Lead: (Kimco) KIMCO - Kentlands Market Square,Lead,39.12445,-77.2356737
Lead: (Kimco) KIMCO - Kernan Village,Lead,30.3170488,-81.4899097
Lead: (Kimco) KIMCO - Key Food - 21st Street,Lead,40.747822,-73.9472316
Lead: (Kimco) KIMCO - Key Food - Atlantic Avenue,Lead,40.6903995,-73.9941403
Lead: (Kimco) KIMCO - Key Food - Central Avenue,Lead,40.6829301,-73.7147647
Lead: (Kimco) KIMCO - Kings Contrivance,Lead,39.1586735,-76.8663307
Lead: (Kimco) KIMCO - Kings Crossing,Lead,30.0489047,-95.1820693
Lead: (Kimco) KIMCO - Kings Highway S.C.,Lead,40.6088024,-73.9590134
Lead: (Kimco) KIMCO - Kissena Blvd S.C.,Lead,40.7505156,-73.8181034
Lead: (Kimco) KIMCO - Kroger Plaza,Lead,36.85223,-76.0280685
Lead: (Kimco) KIMCO - La Mirada Theater Center,Lead,33.8974392,-118.0068638
Lead: (Kimco) KIMCO - La Verne Towne Center,Lead,34.1100803,-117.7585412
Lead: (Kimco) KIMCO - Laband Village S.C.,Lead,33.9943466,-117.7593066
Lead: (Kimco) KIMCO - Lake Prairie Towne Crossing,Lead,32.6447361,-97.0599353
Lead: (Kimco) KIMCO - Lake Wales S.C.,Lead,27.9014133,-81.5859099
Lead: (Kimco) KIMCO - Lakehills Plaza,Lead,30.2337338,-97.7926494
Lead: (Kimco) KIMCO - Lakeside Marketplace,Lead,34.0384092,-84.6854082
Lead: (Kimco) KIMCO - Lakewood Plaza,Lead,33.8760098,-118.1404515
Lead: (Kimco) KIMCO - Lakewood Village,Lead,33.839601,-118.1338535
Lead: (Kimco) KIMCO - Largo Plaza,Lead,27.8907956,-82.785102
Lead: (Kimco) KIMCO - Larwin Square S.C.,Lead,33.7446348,-117.8171255
Lead: (Kimco) KIMCO - Las Tiendas Plaza,Lead,25.9681371,-97.5094073
Lead: (Kimco) KIMCO - Las Tiendas S.C.,Lead,26.1858861,-98.2117527
Lead: (Kimco) KIMCO - Laurel Plaza,Lead,39.0965702,-76.8395543
Lead: (Kimco) KIMCO - Lawrenceville Market,Lead,33.9704613,-84.0166696
Lead: (Kimco) KIMCO - Leesville Towne Centre,Lead,35.9087546,-78.7260177
Lead: (Kimco) KIMCO - Lincoln Hills Town Center,Lead,38.8782081,-121.2944396
Lead: (Kimco) KIMCO - Lincoln Square,Lead,39.9383261,-75.1670085
Lead: (Kimco) KIMCO - Linda Mar S.C.,Lead,37.5884159,-122.4939937
Lead: (Kimco) KIMCO - Linden Plaza,Lead,40.6728365,-73.8661689
Lead: (Kimco) KIMCO - Little Neck Plaza,Lead,40.7648346,-73.7257557
Lead: (Kimco) KIMCO - Loma Square,Lead,32.7478363,-117.2057935
Lead: (Kimco) KIMCO - Long Gate S.C.,Lead,39.25171,-76.8187489
Lead: (Kimco) KIMCO - Los Colobos,Lead,18.3758445,-65.9257421
Lead: (Kimco) KIMCO - Lowry Town Center,Lead,39.7204916,-104.902641
Lead: (Kimco) KIMCO - Madera Village,Lead,32.2584843,-110.7974501
Lead: (Kimco) KIMCO - Madison Plaza,Lead,,
Lead: (Kimco) KIMCO - Madison Village Marketplace,Lead,33.5386513,-112.0626858
Lead: (Kimco) KIMCO - Magnolia Square S.C.,Lead,37.7798885,-121.9720888
Lead: (Kimco) KIMCO - Main St. Plaza,Lead,40.9859962,-75.1924435
Lead: (Kimco) KIMCO - Main Street Marketplace,Lead,38.8455312,-77.3016205
Lead: (Kimco) KIMCO - Manati Villa Maria S.C.,Lead,18.4309377,-66.4889147
Lead: (Kimco) KIMCO - Manetto Hill Plaza,Lead,40.7853148,-73.4743291
Lead: (Kimco) KIMCO - Manhasset Center,Lead,40.7920615,-73.6951183
Lead: (Kimco) KIMCO - Maple Shade,Lead,39.9526127,-74.9923915
Lead: (Kimco) KIMCO - Maplewood Plaza,Lead,26.2455455,-80.2544755
Lead: (Kimco) KIMCO - Marathon S.C.,Lead,24.716405,-81.073318
Lead: (Kimco) KIMCO - Marina Village,Lead,,
Lead: (Kimco) KIMCO - Market at Bay Shore,Lead,40.739316,-73.2409389
Lead: (Kimco) KIMCO - Market at Haynes Bridge,Lead,34.0226959,-84.2713127
Lead: (Kimco) KIMCO - Market at Nolana,Lead,26.2424526,-98.2452267
Lead: (Kimco) KIMCO - Market at Sharyland Place,Lead,26.1950616,-98.2881023
Lead: (Kimco) KIMCO - Market at Southpark,Lead,39.5717665,-104.9896027
Lead: (Kimco) KIMCO - Marketplace of Delray,Lead,26.4561034,-80.1891201
